"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"CC","GO:0070382","exocytic vesicle","2/7","168/11841",0.00401011861218186,0.0942377873862736,0.0654282510408618,"DOC2A/STX4",2
"CC","GO:0042599","lamellar body","1/7","12/11841",0.0070742511374744,0.110829934487099,0.0769479948286689,"CTSH",1
"CC","GO:0030133","transport vesicle","2/7","320/11841",0.0139752416562298,0.114874409502493,0.0797560289938919,"DOC2A/STX4",2
"CC","GO:0048787","presynaptic active zone membrane","1/7","28/11841",0.0164398293368868,0.114874409502493,0.0797560289938919,"STX4",1
"CC","GO:0031904","endosome lumen","1/7","30/11841",0.0176051848891108,0.114874409502493,0.0797560289938919,"CTSH",1
"CC","GO:0031312","extrinsic component of organelle membrane","1/7","37/11841",0.0216746142365828,0.114874409502493,0.0797560289938919,"DOC2A",1
"CC","GO:0043209","myelin sheath","1/7","37/11841",0.0216746142365828,0.114874409502493,0.0797560289938919,"STX4",1
"CC","GO:0031201","SNARE complex","1/7","40/11841",0.0234142271394815,0.114874409502493,0.0797560289938919,"STX4",1
"CC","GO:0098793","presynapse","2/7","435/11841",0.0250143757021269,0.114874409502493,0.0797560289938919,"DOC2A/STX4",2
"CC","GO:0005771","multivesicular body","1/7","46/11841",0.0268855000963281,0.114874409502493,0.0797560289938919,"CTSH",1
"CC","GO:1904724","tertiary granule lumen","1/7","51/11841",0.0297701434441254,0.116599728489491,0.0809538988392884,"CTSH",1
"CC","GO:0030670","phagocytic vesicle membrane","1/7","63/11841",0.0366634000849401,0.128847613077393,0.0894574693258496,"STX4",1
"CC","GO:0048786","presynaptic active zone","1/7","66/11841",0.0383801400656064,0.128847613077393,0.0894574693258496,"STX4",1
"CC","GO:0030672","synaptic vesicle membrane","1/7","78/11841",0.0452209035880825,0.132836404289992,0.0922268428441156,"DOC2A",1
"CC","GO:0099501","exocytic vesicle membrane","1/7","78/11841",0.0452209035880825,0.132836404289992,0.0922268428441156,"DOC2A",1
